objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
402,E14000931,Solihull,413056,280069,-1.80944002,52.41846848,34739931.8058214,24994.8057689634
403,E14000932,Somerton and Frome,364633,137241,-2.50682998,51.1333313,950599658.251391,211598.247575917
404,E14000933,South Basildon and East Thurrock,568418,183317,0.426314,51.52365112,129751257.321881,66693.8472485643
414,E14000943,South Ribble,350238,421361,-2.75495005,53.68632889,198905698.370457,88990.3206466155
405,E14000934,South Cambridgeshire,537837,254678,0.014247,52.17316055,629035797.335913,183562.828004957
406,E14000935,South Derbyshire,431434,325365,-1.53494,52.82492065,336766737.389046,130230.079020434
407,E14000936,South Dorset,385852,85482,-2.20155001,50.66881943,370749996.538273,176405.707913481
408,E14000937,South East Cambridgeshire,553959,267334,0.25557199,52.2826004,749497821.535685,206689.834489685
409,E14000938,South East Cornwall,226464,62949,-4.44528008,50.44065094,727051863.56461,182031.778498984
410,E14000939,South Holland and The Deepings,532910,322822,-0.03061,52.78662872,784955800.200252,153716.156739178
411,E14000940,South Leicestershire,454415,290699,-1.19962001,52.51148987,284435638.092497,84095.413706282
412,E14000941,South Norfolk,629990,295823,1.38794196,52.51176071,792748397.587906,181245.999894845
413,E14000942,South Northamptonshire,463454,246589,-1.07474995,52.11399841,605585079.246763,191734.772071178
415,E14000944,South Shields,437206,564561,-1.42030001,54.97428131,24469646.6789363,33240.0292742615
416,E14000945,South Staffordshire,389625,306836,-2.15480995,52.65916061,278336664.081676,127886.274256093
417,E14000946,South Suffolk,599988,244681,0.91615701,52.06439972,648950157.926511,167171.151198256
418,E14000947,South Swindon,419067,181604,-1.72650003,51.53302002,124327234.554673,61419.6099022628
419,E14000948,South Thanet,628499,158405,1.27499902,51.27893829,128313343.394331,78011.3070819832
420,E14000949,South West Bedfordshire,498229,221850,-0.57413,51.88656998,122993249.03325,60180.3904655954
421,E14000950,South West Devon,258137,56608,-3.99714994,50.39216995,374864116.114027,110780.246405087
422,E14000951,South West Hertfordshire,499430,208327,-0.56057,51.76480865,173363082.295172,102742.670229622
423,E14000952,South West Norfolk,575310,297872,0.58423197,52.55046844,1307245673.21471,232185.445592632
424,E14000953,South West Surrey,492268,140635,-0.68197,51.15753174,257928430.284579,84711.1201097189
425,E14000954,South West Wiltshire,391047,139812,-2.12939,51.15747833,737950963.267845,150197.205521008
426,E14000955,"Southampton, Itchen",445458,112143,-1.35483003,50.90695953,22012038.7735538,29274.9138576201
427,E14000956,"Southampton, Test",440222,114130,-1.42908001,50.92522049,22649013.0718915,25625.0010045057
428,E14000957,Southend West,585151,187494,0.669438,51.55593872,18813147.0713893,17776.3345979371
429,E14000958,Southport,333085,415912,-3.01345992,53.63544083,46751455.6250621,35850.3798033723
432,E14000961,St Austell and Newquay,195455,57854,-4.87867022,50.38489914,395629326.043971,145532.570273849
433,E14000962,St Helens North,351263,398699,-2.73588991,53.48274994,84506027.9278069,51587.6086583798
434,E14000963,St Helens South and Whiston,351222,392412,-2.7355299,53.42623901,62702436.8962579,42505.4140988028
435,E14000964,St Ives,141322,26416,-5.61725998,50.0814209,527508482.092185,205085.66593904
436,E14000965,Stafford,391013,320185,-2.13466001,52.77917862,292008849.420377,116651.121516561
437,E14000966,Staffordshire Moorlands,400043,355243,-2.00079989,53.09440994,512463269.771689,125358.552633234
438,E14000967,Stalybridge and Hyde,398011,398062,-2.03143001,53.47929001,62987305.8574671,35580.8735082229
439,E14000968,Stevenage,524285,223238,-0.19523001,51.89384842,65083455.5067431,48358.4347705265
440,E14000969,Stockport,388819,390460,-2.16966009,53.41083908,21806373.4218226,27859.5360011817
441,E14000970,Stockton North,444937,523121,-1.30594003,54.60128021,119382740.89283,75136.9279024161
442,E14000971,Stockton South,443143,513821,-1.33506,54.51786041,86645787.4965269,56145.9834607079
443,E14000972,Stoke-on-Trent Central,389141,347318,-2.16333008,53.02305984,29576224.2110711,33583.4571759772
444,E14000973,Stoke-on-Trent North,387700,351970,-2.18499994,53.06483841,42432047.4035314,32919.8780766933
445,E14000974,Stoke-on-Trent South,390276,342227,-2.14626002,52.97731018,31872575.4767161,30823.5205489995
446,E14000975,Stone,388489,330561,-2.17245007,52.87240982,621171321.006848,197992.838037024
447,E14000976,Stourbridge,391209,284285,-2.13079,52.45645142,27154597.7890898,23948.1698121914
448,E14000977,Stratford-on-Avon,419834,253616,-1.71133006,52.18045044,670723042.072857,171863.619734471
449,E14000978,Streatham,530188,172431,-0.1284,51.43592072,10692952.7333976,16388.8413750043
450,E14000979,Stretford and Urmston,376790,394312,-2.35089993,53.44506836,44612659.3899168,33546.691578815
451,E14000980,Stroud,382161,205282,-2.25977993,51.74594879,398157990.67244,129262.662809649
452,E14000981,Suffolk Coastal,635965,249452,1.44335997,52.09307861,771239425.420152,196097.85241876
453,E14000982,Sunderland Central,438940,556531,-1.39428997,54.90200043,28789355.4266767,29984.8701627097
454,E14000983,Surrey Heath,493294,162147,-0.66170001,51.35074997,110572364.043616,62364.2074605276
455,E14000984,Sutton and Cheam,524746,164092,-0.20958,51.36220169,19226870.4148211,22141.7649863439
456,E14000985,Sutton Coldfield,412968,296625,-1.81009996,52.56731033,58398733.350307,36394.518276187
457,E14000986,Tamworth,416920,302985,-1.75146997,52.6243782,180014943.678199,81477.4132978902
458,E14000987,Tatton,372677,375936,-2.41123009,53.27970123,331643585.804084,105658.560575849
459,E14000988,Taunton Deane,318327,123470,-3.16542006,51.00479126,462699202.235436,132348.867590604
460,E14000989,Telford,369255,307882,-2.45605993,52.66778183,50844038.7455681,33742.8524889391
461,E14000990,Tewkesbury,395051,226279,-2.07337999,51.93500137,363964401.500903,145392.369939473
462,E14000991,The Cotswolds,407586,216304,-1.89127004,51.84529114,1243571716.86789,291458.941301122
463,E14000992,The Wrekin,369695,319172,-2.45059991,52.76929855,344863707.825458,127164.86305743
464,E14000993,Thirsk and Malton,465689,478532,-0.9946,54.19836044,2146199489.40214,302329.662307174
465,E14000994,Thornbury and Yate,369237,185199,-2.44519997,51.56481934,398190674.237563,115945.834896536
466,E14000995,Thurrock,559439,180025,0.29550999,51.49668121,68925604.9467847,47196.6040778562
467,E14000996,Tiverton and Honiton,312313,107480,-3.24726009,50.86014175,904939822.506023,180371.211756084
468,E14000997,Tonbridge and Malling,561918,151566,0.31823799,51.2402916,303534812.094995,108464.72135747
469,E14000998,Tooting,527687,172670,-0.16428,51.43864059,10763124.2985298,14175.0634935184
470,E14000999,Torbay,290905,64048,-3.53851008,50.46606064,36824318.585998,44089.6757019803
486,E14001015,Wantage,442287,190881,-1.39064002,51.61516953,586942080.717714,136294.134916456
487,E14001016,Warley,400825,287646,-1.98926997,52.48674011,19483039.6998912,19039.3251809803
471,E14001000,Torridge and West Devon,244314,100575,-4.20988989,50.78377914,1710658145.10875,337884.64049582
472,E14001001,Totnes,279926,51138,-3.6890099,50.34785843,576043899.662855,178074.171690673
473,E14001002,Tottenham,532898,189292,-0.08309,51.5868187,13371906.4155235,16826.2148032758
474,E14001003,Truro and Falmouth,182689,51267,-5.05418015,50.32117081,452022040.627041,160745.021479393
475,E14001004,Tunbridge Wells,566713,140725,0.38183999,51.14151001,245013361.871688,104707.900276721
476,E14001005,Twickenham,514896,171607,-0.34856999,51.43181992,28719717.874862,27317.6828755237
477,E14001006,Tynemouth,433254,571149,-1.48126996,55.03376007,37627322.2687189,31823.443058944
478,E14001007,Uxbridge and South Ruislip,508041,183856,-0.44339001,51.54327011,30294982.8856092,28030.8749301465
